Participant_ID,L1_L2,area,time_period,Fp1-Average_suffix_stressed_mismatch,Fp1-Average_suffix_stressed_match,Fp1-Average_suffix_unstressed_mismatch,Fp1-Average_suffix_unstressed_match,F3-Average_suffix_stressed_mismatch,F3-Average_suffix_stressed_match,F3-Average_suffix_unstressed_mismatch,F3-Average_suffix_unstressed_match,F7-Average_suffix_stressed_mismatch,F7-Average_suffix_stressed_match,F7-Average_suffix_unstressed_mismatch,F7-Average_suffix_unstressed_match,FT9-Average_suffix_stressed_mismatch,FT9-Average_suffix_stressed_match,FT9-Average_suffix_unstressed_mismatch,FT9-Average_suffix_unstressed_match,FC5-Average_suffix_stressed_mismatch,FC5-Average_suffix_stressed_match,FC5-Average_suffix_unstressed_mismatch,FC5-Average_suffix_unstressed_match,FC1-Average_suffix_stressed_mismatch,FC1-Average_suffix_stressed_match,FC1-Average_suffix_unstressed_mismatch,FC1-Average_suffix_unstressed_match,C3-Average_suffix_stressed_mismatch,C3-Average_suffix_stressed_match,C3-Average_suffix_unstressed_mismatch,C3-Average_suffix_unstressed_match,T7-Average_suffix_stressed_mismatch,T7-Average_suffix_stressed_match,T7-Average_suffix_unstressed_mismatch,T7-Average_suffix_unstressed_match,TP9-Average_suffix_stressed_mismatch,TP9-Average_suffix_stressed_match,TP9-Average_suffix_unstressed_mismatch,TP9-Average_suffix_unstressed_match,CP5-Average_suffix_stressed_mismatch,CP5-Average_suffix_stressed_match,CP5-Average_suffix_unstressed_mismatch,CP5-Average_suffix_unstressed_match,CP1-Average_suffix_stressed_mismatch,CP1-Average_suffix_stressed_match,CP1-Average_suffix_unstressed_mismatch,CP1-Average_suffix_unstressed_match,Pz-Average_suffix_stressed_mismatch,Pz-Average_suffix_stressed_match,Pz-Average_suffix_unstressed_mismatch,Pz-Average_suffix_unstressed_match,P3-Average_suffix_stressed_mismatch,P3-Average_suffix_stressed_match,P3-Average_suffix_unstressed_mismatch,P3-Average_suffix_unstressed_match,P7-Average_suffix_stressed_mismatch,P7-Average_suffix_stressed_match,P7-Average_suffix_unstressed_mismatch,P7-Average_suffix_unstressed_match,O1-Average_suffix_stressed_mismatch,O1-Average_suffix_stressed_match,O1-Average_suffix_unstressed_mismatch,O1-Average_suffix_unstressed_match,Oz-Average_suffix_stressed_mismatch,Oz-Average_suffix_stressed_match,Oz-Average_suffix_unstressed_mismatch,Oz-Average_suffix_unstressed_match,O2-Average_suffix_stressed_mismatch,O2-Average_suffix_stressed_match,O2-Average_suffix_unstressed_mismatch,O2-Average_suffix_unstressed_match,P4-Average_suffix_stressed_mismatch,P4-Average_suffix_stressed_match,P4-Average_suffix_unstressed_mismatch,P4-Average_suffix_unstressed_match,P8-Average_suffix_stressed_mismatch,P8-Average_suffix_stressed_match,P8-Average_suffix_unstressed_mismatch,P8-Average_suffix_unstressed_match,TP10-Average_suffix_stressed_mismatch,TP10-Average_suffix_stressed_match,TP10-Average_suffix_unstressed_mismatch,TP10-Average_suffix_unstressed_match,CP6-Average_suffix_stressed_mismatch,CP6-Average_suffix_stressed_match,CP6-Average_suffix_unstressed_mismatch,CP6-Average_suffix_unstressed_match,CP2-Average_suffix_stressed_mismatch,CP2-Average_suffix_stressed_match,CP2-Average_suffix_unstressed_mismatch,CP2-Average_suffix_unstressed_match,Cz-Average_suffix_stressed_mismatch,Cz-Average_suffix_stressed_match,Cz-Average_suffix_unstressed_mismatch,Cz-Average_suffix_unstressed_match,C4-Average_suffix_stressed_mismatch,C4-Average_suffix_stressed_match,C4-Average_suffix_unstressed_mismatch,C4-Average_suffix_unstressed_match,T8-Average_suffix_stressed_mismatch,T8-Average_suffix_stressed_match,T8-Average_suffix_unstressed_mismatch,T8-Average_suffix_unstressed_match,FT10-Average_suffix_stressed_mismatch,FT10-Average_suffix_stressed_match,FT10-Average_suffix_unstressed_mismatch,FT10-Average_suffix_unstressed_match,FC6-Average_suffix_stressed_mismatch,FC6-Average_suffix_stressed_match,FC6-Average_suffix_unstressed_mismatch,FC6-Average_suffix_unstressed_match,FC2-Average_suffix_stressed_mismatch,FC2-Average_suffix_stressed_match,FC2-Average_suffix_unstressed_mismatch,FC2-Average_suffix_unstressed_match,F4-Average_suffix_stressed_mismatch,F4-Average_suffix_stressed_match,F4-Average_suffix_unstressed_mismatch,F4-Average_suffix_unstressed_match,F8-Average_suffix_stressed_mismatch,F8-Average_suffix_stressed_match,F8-Average_suffix_unstressed_mismatch,F8-Average_suffix_unstressed_match,Fp2-Average_suffix_stressed_mismatch,Fp2-Average_suffix_stressed_match,Fp2-Average_suffix_unstressed_mismatch,Fp2-Average_suffix_unstressed_match,Audio-Average_suffix_stressed_mismatch,Audio-Average_suffix_stressed_match,Audio-Average_suffix_unstressed_mismatch,Audio-Average_suffix_unstressed_match,Fz-Average_suffix_stressed_mismatch,Fz-Average_suffix_stressed_match,Fz-Average_suffix_unstressed_mismatch,Fz-Average_suffix_unstressed_match
stress1,L1,suffix,235_415,-4.057705,8.496333,-0.596164,-2.60797,-3.05305,5.028655,-1.544469,-0.858199,-2.336015,-6.559369,2.017292,3.838986,3.308012,2.453846,2.607498,4.379097,-0.731209,3.599027,-0.03259,-1.479799,-2.087022,1.608822,-1.039499,-2.007085,-3.069727,3.508802,-0.890157,-0.34552,-1.004,2.748339,-7.387422,0.382872,4.137768,-9.649731,6.32573,0.800423,-1.43492,7.278809,-1.147939,0.750304,-2.640266,0.373007,1.567722,-0.515595,-2.592591,-0.712931,2.219094,0.449931,-2.167429,1.120068,0.83985,1.424542,2.605889,5.965335,4.64802,-0.779276,0.189281,2.632268,7.60197,2.78402,-2.597601,2.065328,3.114661,1.320049,-1.763437,1.735362,1.150152,-0.400841,-1.453622,1.788244,3.241359,0.338175,-0.064022,2.864615,-0.114554,1.148766,6.893549,-11.852351,-2.945832,4.072433,-1.912636,7.365071,-2.062136,0.517987,-2.421573,1.561865,0.839522,0.48069,-3.776006,1.7041519999999999,0.862119,-1.021155,-2.093299,3.97423,1.407563,-0.043987,-2.904392,7.904405,-9.297478,1.172093,-2.437745,19.99151,-6.819193,2.499993,-1.32108,12.433846,-3.950104,-0.603047,-2.570086,4.415342,-0.685282,-0.79621,-3.515986,10.754895,-3.128507,0.078651,-0.636972,14.346231,-26.308233,0.936785,-8.809065,7.037287,-7.748031,-1.32706,-1322.099243,-1318.856079,-2637.652832,-2035.197754,-3.677105,7.167357,-1.126635,-1.624286
stress1,L2,suffix,235_415,6.69777,-4.848664,2.543671,-1.413368,4.582184,-1.273279,1.870483,-0.150012,3.271774,-1.558962,1.485716,1.266142,0.583265,-2.08724,-0.017842,0.752252,3.076111,-2.46431,1.423502,0.410594,3.588725,-1.592228,1.0495,-0.051198,3.027182,-2.293224,2.00149,0.165435,0.126638,-2.753349,0.293032,-0.399651,-4.714023,1.142877,-1.40559,0.064358,0.986595,-2.325949,2.740427,0.352376,2.016271,-2.89387,1.236918,-0.90962,0.377274,-2.350343,1.951274,-2.759816,2.28724,-3.647567,3.082858,-1.278968,-0.455137,-3.96654,1.421152,0.503492,-1.237513,-1.230179,1.732452,-0.159112,-0.754696,-0.983839,2.393866,-0.967048,-0.920914,-1.589242,0.800377,-1.204223,-1.817084,-2.10555,-0.221807,-1.460588,-2.815766,-2.271342,0.893592,-1.613862,-6.463187,1.911714,-1.662066,-0.188498,-1.489508,-0.955778,-1.613924,-1.134737,-0.03322,-1.993661,-0.982256,-1.202652,2.1158960000000002,-2.828046,-0.150673,0.3876,2.419882,-1.203415,-1.533558,-1.776328,-2.815426,0.811376,-0.763282,-0.990929,-4.341923,2.326951,-1.958672,0.720138,-0.05675,1.495348,-0.945398,-0.243559,2.367261,-0.776199,-0.281968,1.334627,2.093329,0.356595,0.489239,0.055584,-2.731326,2.44435,-1.887657,0.743624,4.540353,-2.196434,2.296773,-0.56293,-666.647827,-700.197693,-2149.162109,-2062.962158,3.725737,-1.018197,1.022552,0.041381
stress10,L2,suffix,235_415,-9.107365,3.754821,2.825239,-10.07273,-4.421986,-1.46479,-4.325788,-9.921936,-0.155805,-1.397064,-15.235368,-14.487354,2.327479,-1.143501,-11.191446,-5.659394,-1.541897,-1.327878,-8.957507,-10.292788,-3.72342,-2.095692,-2.413288,-8.008381,-1.208329,-0.3127,-5.308406,-6.770819,0.044053,-0.079224,-7.831945,-6.139686,9.811121,2.872128,-3.933884,5.090059,1.373549,0.878041,-5.361505,-3.521453,-0.872522,0.337169,-4.415856,-4.174006,1.475155,0.455668,-2.651157,-0.041707,2.337386,1.703898,-2.611056,-1.556911,4.312897,1.209973,-2.735457,0.332297,3.942026,2.172402,-2.538538,0.426495,4.092673,0.662329,-0.749663,3.173641,2.409879,0.057742,0.939152,3.528128,0.637439,1.365048,-1.550954,1.709826,2.278615,-0.700839,1.598975,3.374162,9.286157,2.641302,3.907637,11.350642,-0.47901,-0.641073,0.01177,1.252436,-0.20431,-1.205222,-2.343497,-1.169311,-2.443975,-1.500044,-2.945374,-5.03818,-0.709004,-1.334783,-0.307108,-0.634627,-0.699111,-2.136739,1.711796,5.240536,0.534363,-3.629773,3.560964,8.381206,-2.862223,-2.4882,2.424006,3.876508,-4.46523,-2.461259,-0.94444,-3.266702,-5.707974,-1.91701,2.576545,-1.345675,-2.441143,-3.13782,7.888023,8.852503,-10.405415,2.006147,7.996459,-3.049211,-2899.493408,-1689.981934,-2583.622314,-1583.376953,-6.365759,-1.837809,0.008748,-5.480233
stress11,L2,suffix,235_415,3.495394,-13.152096,-1.094728,-10.570638,-4.564968,-5.145917,2.977425,-2.766716,-13.211950999999999,-22.34527,-2.064556,-6.555704,-11.561697,-11.58383,-1.049729,0.002226,-4.44467,-7.348065,1.457599,-1.499939,1.016249,-0.581794,0.823052,-0.059133,-1.007351,-1.950215,0.774601,0.693535,-6.173317,-7.455749,-2.4565,-2.189881,-10.593468,-5.589162,-0.628255,-0.487595,-2.490065,-3.114185,1.298202,-0.22456,2.215254,0.674008,0.69526,-1.439343,0.013277,2.142675,0.349267,-3.331874,0.646646,-0.11936,1.976119,-0.30758,-3.12736,-3.512013,0.693482,0.508182,1.644192,2.912636,2.460909,-1.314124,0.412129,2.427546,1.376171,-1.997897,2.145984,3.090056,2.782253,-2.24028,3.499838,2.52544,-1.076341,-1.198079,4.909385,4.825199,2.538865,-0.072349,2.529065,1.121332,-0.350344,0.799337,5.590286,4.776991,-1.095441,0.238093,2.933243,3.379502,0.181467,-0.114208,2.523095,2.51051,0.817111,-0.245647,6.676757,4.42077,-2.615064,-0.541009,5.997272,6.328955,-1.467501,1.544093,13.312413,13.149541,-1.471574,8.518202,11.306182,10.241006,-0.407244,2.676446,3.941728,4.004702,-1.716401,-0.658956,10.860713,9.213232,-3.43727,1.92258,19.260399,15.488544,1.593939,6.134516,12.856661,-19.12184,-7.366641,-14.388777,-3008.738281,-1763.234253,-2682.685547,-1639.429688,2.688137,1.489279,0.3262,-0.103915
stress12,L2,suffix,235_415,0.399803,-2.22753,-0.034333,0.312127,0.89116,-1.444638,2.039068,0.511951,0.09979,0.803157,2.228186,1.129876,2.622148,3.095793,-0.890619,0.569524,1.006777,-1.096077,1.320749,1.316083,-0.629423,-1.666363,1.822917,0.272092,0.74758,-0.48656,2.172941,0.380063,0.116094,2.102185,1.573578,2.545674,-0.270335,5.741189,0.999143,-1.630056,-1.497673,0.706459,2.720621,0.470376,0.270649,-1.256072,1.422957,0.91769,0.613259,-1.925004,1.7326,-1.190189,1.057426,0.313236,2.370941,0.851922,0.260764,0.807458,1.457275,0.710369,0.554899,1.271817,2.72921,-1.513676,0.298543,-1.390126,-0.067389,-0.74638,-0.041762,-1.965751,-0.562846,-0.504734,-0.165629,-3.735657,0.562623,-2.537969,-0.58583,-3.587818,-0.871699,0.426423,1.213183,2.288454,-1.285143,0.861285,-0.842035,-4.374626,-0.544954,-1.399555,0.547344,-4.054674,0.900977,-0.871223,-0.204307,-1.509868,1.353333,0.163636,-1.079625,-2.821021,0.28102,-1.449732,0.535414,-3.065409,0.308304,-1.436374,1.158143,-0.334603,-1.569166,-1.471485,0.172943,-2.368369,-1.079985,-0.223307,-0.130387,-3.260617,0.143892,-0.335859,-2.422733,1.944175,0.275384,-1.598413,3.675308,-4.302962,-0.058209,0.619839,1.29397,-2.30109,-0.451239,0.745021,-1895.27417,-1789.007324,-2115.834717,-1487.197144,-0.314283,-2.676548,0.095333,0.256258
stress13,L2,suffix,235_415,0.047541,0.275107,-1.95291,-0.493746,-0.8175,-0.337664,0.979433,1.328547,-5.858187,0.059054,-0.128054,-0.391994,1.032233,0.253059,-4.361016,-2.858258,-0.082053,-1.553923,1.207428,1.16177,-0.815417,-3.626204,2.024382,1.52591,-1.236881,-2.913455,3.437822,3.407791,-1.678921,-0.366097,0.852289,0.944497,0.198589,4.515889,-3.68951,-0.20475,-1.103035,-0.347766,2.483105,3.539126,-2.704543,-4.280539,2.662704,3.637379,-3.403759,-4.494269,1.88209,3.937168,-1.29581,-3.315394,3.172213,4.467325,0.561617,0.871291,2.266384,2.917348,-0.774552,-2.081919,0.957579,4.45474,-1.946457,-4.301431,-0.786728,4.376662,-1.703671,-2.992857,-0.601976,3.930947,-2.710424,-4.900636,0.44223,3.334255,-2.880816,-0.541911,-0.845658,3.620259,0.35986,4.421135,-1.85486,-1.561434,-3.631179,-3.522563,0.458216,3.992172,-3.703101,-4.242451,1.858226,2.903829,-2.299682,-3.794204,1.870455,1.637226,-3.029765,-3.186058,0.246421,0.700397,-1.935892,-1.472035,0.54851,-0.275037,0.591921,0.846128,-1.442584,-5.03644,-1.39426,-2.359376,3.396099,-1.452303,-1.875386,-4.048964,3.624653,1.340349,2.193225,0.346831,2.003628,-0.900486,1.26485,-0.839725,6.177465,-2.236121,0.356798,-0.873892,-0.600271,-0.74723,-2982.057373,-1751.041138,-2145.336426,-1425.466431,-0.18615,-2.979008,1.848123,0.588728
stress14,L2,suffix,235_415,-5.241997,2.833214,-3.546973,-0.922603,-6.179922,2.958269,-2.849097,1.107755,-11.838189,3.038696,-2.7017,8.961733,-7.680334,-0.395396,-0.950588,9.256481,-6.932232,1.379475,-2.756537,2.579996,-3.969418,3.062191,-1.03027,-2.088698,-5.100804,1.089541,-0.144654,-0.019573,-6.115346,-0.02477,0.160884,3.834597,-2.067997,-4.829961,3.948754,6.39747,-4.599148,-1.370233,-0.356388,0.460543,-2.505505,-2.331523,2.527985,-0.961927,-1.390479,-3.921746,4.574544,-0.546918,-2.575669,-3.243809,3.281323,-0.065651,-3.971951,-3.436418,0.907757,1.57197,-3.24296,-5.212375,2.793334,0.59261,-1.783605,-4.822098,3.023042,0.947491,-1.110701,-5.705496,0.926245,1.269347,-1.278543,-4.097443,3.061826,-1.592945,-0.724407,-4.108735,2.14433,-0.53347,3.855659,-7.729913,6.009436,2.093171,1.140915,-2.492199,-0.3677,-2.542807,-1.40666,-2.216989,2.830628,-1.220061,-1.102255,0.48818,2.721529,-0.906255,1.626786,0.510327,2.245775,-3.07983,1.27149,-3.560219,0.937446,-0.727262,3.894748,-1.557699,2.861616,-2.641136,2.659572,1.3697,0.231905,-5.342749,-0.072168,2.617877,-0.49181,-2.918811,1.466681,2.966777,-2.033206,-5.190521,5.75668,2.05847,0.531035,-7.91853,0.034866,4.121088,-4.993941,-7.198464,-3123.742432,-1757.091675,-1568.03772,-1448.154419,-0.59588699999999994,4.186624,-3.319398,-2.830214
stress15,L2,suffix,235_415,-3.515492,-1.160088,-5.824376,1.444786,-1.794338,-0.199352,-2.07197,5.055994,-1.009235,4.080607,-1.381703,14.526405,1.143666,4.914347,1.152569,11.172801,-0.8878,1.716212,-1.455494,6.944732,-2.401109,-0.599957,-3.119955,2.700802,-2.533419,-0.034692,-2.979084,4.381959,-1.368429,2.704979,-2.439082,4.331464,1.299069,2.059562,3.64057,0.727491,-1.527619,0.417678,-2.080056,1.711875,-2.908225,-1.932174,-3.837061,3.065875,-2.99399,-2.033627,-3.46806,2.381629,-1.490773,-1.056967,-1.946023,0.964681,-1.943681,-0.659517,-1.082591,0.177806,-1.752976,-0.853759,1.336527,0.334816,-0.701994,-1.198438,2.146993,1.254359,-0.365343,-1.614062,1.742062,-0.26022,-2.455628,-2.369912,-1.148415,0.170552,-0.187389,-1.185378,0.065912,-1.185059,3.153463,0.280424,10.031186,-4.600755,-2.145885,-1.343406,-2.21782,-3.097465,-1.488419,-1.114606,-3.585622,1.850982,-4.120218,-2.502808,-4.521493,1.506346,-3.019201,-0.709531,-2.47642,-1.747452,0.519996,-0.231793,-2.008235,-6.454644,2.012292,1.814432,-0.661755,-7.869972,-1.470734,0.057737,-2.079495,-6.697194,-2.317096,-1.875839,-2.170223,0.200665,-1.830526,-1.682573,-1.966493,-2.79279,1.610902,0.610321,-2.219268,-10.723839,-0.620006,-6.24553,-6.422489,1.301275,-2976.00708,-1764.550903,-1892.879395,-1709.280884,-1.484177,-0.779994,-4.557251,1.291088
stress16,L2,suffix,235_415,-30.476444,-12.954508,-13.163037,-21.449211,-10.553809,-1.433442,-4.744034,-7.5596,-8.497321,-1.820008,-4.066537,-2.988958,-0.79552,-0.78806,-0.66236,2.38484,-4.953715,-1.428263,-2.671175,-2.591659,-2.843664,0.638902,-2.752016,-2.910537,-1.763214,-0.242334,-2.464064,-0.755086,-0.909371,-2.694782,0.565353,0.340947,9.914382,0.205491,5.810752,7.117657,0.110724,-0.29684,-1.880785,-0.487774,-1.241796,0.71716,-0.347204,-0.882898,-0.683397,0.044037,-0.303169,1.167377,0.259745,-0.020226,-1.1198379999999999,-0.943897,2.423788,0.422609,-0.142175,0.345008,1.7022,1.073085,-0.004349,0.021683,2.615391,1.635541,0.400984,0.405384,0.8272,1.135559,-1.908894,-1.442023,0.512683,-1.539087,0.095321,-0.370091,1.303071,-1.020741,0.591775,-0.31025,8.560099,-1.126111,6.462891,5.616623,0.47558,-1.929336,0.80947,1.13305,-0.970931,-0.961478,-0.497456,0.662215,-0.86392,0.734337,-0.815022,-1.311887,-0.675382,-0.277512,0.408675,0.94789,0.357017,0.176425,1.424451,2.50016,0.34788,0.29917,0.640226,4.493778,-1.588589,-0.232176,-0.180772,1.470915,-2.673918,0.646174,-2.198063,-2.516671,-6.231314,-0.666554,-2.641852,-3.368573,-4.922219,-1.098709,-2.274612,0.612356,-21.031155,-8.02422,-11.151332,-13.219436,-3061.762939,-1783.157471,-2364.802246,-1539.104248,-6.158162,0.306874,-4.091217,-4.244762
stress17,L2,suffix,235_415,-3.124565,-2.776796,-2.725877,2.744518,-3.059227,-1.416679,-5.061737,-1.057124,-1.559076,-0.339559,-5.841096,-0.571406,-0.851539,1.398058,-0.437634,2.123795,-2.133531,-0.345199,-4.861502,-0.825038,-2.75033,-2.363767,-3.990631,-2.537301,-1.660832,-3.423422,-2.465529,-1.630669,-0.976645,0.757015,-2.115279,0.244466,3.291298,4.310375,2.953807,2.22893,0.22486,-0.137056,-1.839812,-0.708806,-0.26742,-3.843788,-2.047301,-3.051809,-1.126601,-3.72128,0.185127,-2.951692,0.882486,-3.470728,0.874406,-1.130018,1.385286,0.352503,0.184353,0.845788,1.500921,-2.768176,3.142395,-0.570865,1.556921,-2.785325,3.134999,-0.600429,1.549868,-2.413222,3.35953,-1.189549,1.221486,-8.526769,1.749741,2.159371,2.393596,-1.694302,2.513805,-1.447959,6.067021,3.070071,6.286189,1.208914,0.388102,-1.666521,1.429699,-0.850715,-1.306097,-3.974225,-1.066479,-3.11646,-3.010147,-4.893901,-3.696167,-3.013757,-0.502127,-2.674325,-1.185694,-1.319046,0.567986,0.216328,1.900705,0.68808,1.026167,2.192201,7.18468,2.635872,-0.90024,-1.751272,1.459398,-1.611231,-2.636942,-4.704773,-0.679104,-1.862277,-2.483221,-2.187401,-0.802931,-0.907297,-1.332781,-0.653815,7.009653,1.0337,-2.882975,-1.022783,1.914033,2.694249,-2717.427979,-1478.310913,-2092.933594,-1544.103882,-3.119441,-2.460149,-3.079999,-1.145948
