"Participant_ID","L1_L2","Fp1-Average_F0_stressed_mismatch","Fp1-Average_F0_stressed_match","Fp1-Average_F0_unstressed_mismatch","Fp1-Average_F0_unstressed_match","F3-Average_F0_stressed_mismatch","F3-Average_F0_stressed_match","F3-Average_F0_unstressed_mismatch","F3-Average_F0_unstressed_match","F7-Average_F0_stressed_mismatch","F7-Average_F0_stressed_match","F7-Average_F0_unstressed_mismatch","F7-Average_F0_unstressed_match","FT9-Average_F0_stressed_mismatch","FT9-Average_F0_stressed_match","FT9-Average_F0_unstressed_mismatch","FT9-Average_F0_unstressed_match","FC5-Average_F0_stressed_mismatch","FC5-Average_F0_stressed_match","FC5-Average_F0_unstressed_mismatch","FC5-Average_F0_unstressed_match","FC1-Average_F0_stressed_mismatch","FC1-Average_F0_stressed_match","FC1-Average_F0_unstressed_mismatch","FC1-Average_F0_unstressed_match","C3-Average_F0_stressed_mismatch","C3-Average_F0_stressed_match","C3-Average_F0_unstressed_mismatch","C3-Average_F0_unstressed_match","T7-Average_F0_stressed_mismatch","T7-Average_F0_stressed_match","T7-Average_F0_unstressed_mismatch","T7-Average_F0_unstressed_match","TP9-Average_F0_stressed_mismatch","TP9-Average_F0_stressed_match","TP9-Average_F0_unstressed_mismatch","TP9-Average_F0_unstressed_match","CP5-Average_F0_stressed_mismatch","CP5-Average_F0_stressed_match","CP5-Average_F0_unstressed_mismatch","CP5-Average_F0_unstressed_match","CP1-Average_F0_stressed_mismatch","CP1-Average_F0_stressed_match","CP1-Average_F0_unstressed_mismatch","CP1-Average_F0_unstressed_match","Pz-Average_F0_stressed_mismatch","Pz-Average_F0_stressed_match","Pz-Average_F0_unstressed_mismatch","Pz-Average_F0_unstressed_match","P3-Average_F0_stressed_mismatch","P3-Average_F0_stressed_match","P3-Average_F0_unstressed_mismatch","P3-Average_F0_unstressed_match","P7-Average_F0_stressed_mismatch","P7-Average_F0_stressed_match","P7-Average_F0_unstressed_mismatch","P7-Average_F0_unstressed_match","O1-Average_F0_stressed_mismatch","O1-Average_F0_stressed_match","O1-Average_F0_unstressed_mismatch","O1-Average_F0_unstressed_match","Oz-Average_F0_stressed_mismatch","Oz-Average_F0_stressed_match","Oz-Average_F0_unstressed_mismatch","Oz-Average_F0_unstressed_match","O2-Average_F0_stressed_mismatch","O2-Average_F0_stressed_match","O2-Average_F0_unstressed_mismatch","O2-Average_F0_unstressed_match","P4-Average_F0_stressed_mismatch","P4-Average_F0_stressed_match","P4-Average_F0_unstressed_mismatch","P4-Average_F0_unstressed_match","P8-Average_F0_stressed_mismatch","P8-Average_F0_stressed_match","P8-Average_F0_unstressed_mismatch","P8-Average_F0_unstressed_match","TP10-Average_F0_stressed_mismatch","TP10-Average_F0_stressed_match","TP10-Average_F0_unstressed_mismatch","TP10-Average_F0_unstressed_match","CP6-Average_F0_stressed_mismatch","CP6-Average_F0_stressed_match","CP6-Average_F0_unstressed_mismatch","CP6-Average_F0_unstressed_match","CP2-Average_F0_stressed_mismatch","CP2-Average_F0_stressed_match","CP2-Average_F0_unstressed_mismatch","CP2-Average_F0_unstressed_match","Cz-Average_F0_stressed_mismatch","Cz-Average_F0_stressed_match","Cz-Average_F0_unstressed_mismatch","Cz-Average_F0_unstressed_match","C4-Average_F0_stressed_mismatch","C4-Average_F0_stressed_match","C4-Average_F0_unstressed_mismatch","C4-Average_F0_unstressed_match","T8-Average_F0_stressed_mismatch","T8-Average_F0_stressed_match","T8-Average_F0_unstressed_mismatch","T8-Average_F0_unstressed_match","FT10-Average_F0_stressed_mismatch","FT10-Average_F0_stressed_match","FT10-Average_F0_unstressed_mismatch","FT10-Average_F0_unstressed_match","FC6-Average_F0_stressed_mismatch","FC6-Average_F0_stressed_match","FC6-Average_F0_unstressed_mismatch","FC6-Average_F0_unstressed_match","FC2-Average_F0_stressed_mismatch","FC2-Average_F0_stressed_match","FC2-Average_F0_unstressed_mismatch","FC2-Average_F0_unstressed_match","F4-Average_F0_stressed_mismatch","F4-Average_F0_stressed_match","F4-Average_F0_unstressed_mismatch","F4-Average_F0_unstressed_match","F8-Average_F0_stressed_mismatch","F8-Average_F0_stressed_match","F8-Average_F0_unstressed_mismatch","F8-Average_F0_unstressed_match","Fp2-Average_F0_stressed_mismatch","Fp2-Average_F0_stressed_match","Fp2-Average_F0_unstressed_mismatch","Fp2-Average_F0_unstressed_match","Audio-Average_F0_stressed_mismatch","Audio-Average_F0_stressed_match","Audio-Average_F0_unstressed_mismatch","Audio-Average_F0_unstressed_match","Fz-Average_F0_stressed_mismatch","Fz-Average_F0_stressed_match","Fz-Average_F0_unstressed_mismatch","Fz-Average_F0_unstressed_match"
"stress1","L1",-5.256817,7.585823,-0.954559,-0.961754,-3.863773,4.641833,-2.029991,-0.540131,7.028051,-11.57822,4.317811,3.967151,4.299339,0.028948,2.931662,3.784892,0.842199,5.861856,-0.934958,-1.731242,-4.609908,4.403649,-2.947907,-0.431267,-4.326365,5.887142,-1.980786,-1.594452,-2.176416,3.262382,-4.163001,-0.282095,9.150826,-4.478934,6.127794,-2.551021,-1.006248,8.165995,-0.622876,-0.30984,-5.087996,4.264043,-0.388976,-0.872666,-4.618506,3.979835,0.259832,-1.160855,-4.53619,5.263991,-0.486774,-1.185986,4.343703,5.55695,4.137417,-1.326464,0.237983,3.922691,5.620107,0.433899,-0.857575,2.658076,2.513676,-0.381488,-0.708065,1.937439,1.13361,-0.17197,-4.837289,4.063223,1.336302,-0.134788,-1.301838,1.976917,-0.357812,0.976761,8.090635,-10.653841,-0.373552,2.648374,-3.469804,3.545231,-1.231856,1.204309,-4.637664,4.415703,-0.842102,-0.302772,-5.066233,4.181426,-0.974928,0.098216,-5.181765,3.913194,-0.723641,0.2733,-7.113156,1.721801,-5.956422,1.226573,-6.686769,9.918686,-5.17162,2.167636,-4.361001,9.494116,-3.445424,2.927638,-5.098422,3.907867,-2.203273,0.558981,-5.552569,6.356695,-3.866769,0.678277,-0.889245,-9.225047,-13.748517,8.329541,-11.803743,2.52688,-6.345909,0.898551,82.825539,-642.338074,-1345.401001,720.221436,-5.747156,5.04426,-1.918084,-0.032449
"stress1","L2",-3.017158,2.33747,3.309184,-2.795942,-0.407925,-0.92468,1.338026,-0.257323,0.660516,1.505834,2.481065,-3.329426,0.883035,1.070246,1.622154,-2.597306,1.322241,-0.520901,1.179477,-0.633229,0.13161,-2.738916,-0.66803,-0.163141,2.328419,-1.489872,-0.536027,0.096012,-0.135699,0.356861,0.733741,-1.397287,2.080259,3.203008,0.07116,-0.323374,1.104151,-1.105618,0.069893,-0.309233,2.408109,-2.338654,-2.134382,1.18794,1.725546,-1.97194,-1.568017,1.751274,0.199386,-1.504282,-1.192166,1.279538,1.951481,-0.156887,-1.580348,-0.486279,1.617213,-0.718801,-0.692714,0.617301,0.74627,-0.689925,-0.135947,1.439864,0.221505,-0.412598,-1.033093,1.795598,0.293194,-2.466359,-1.722663,0.984234,0.258872,-0.436115,-0.235253,0.72642,2.425808,3.031131,-0.263165,1.691043,0.686629,-2.220336,-2.290749,0.32443,1.522898,-3.309733,-3.311995,0.812762,1.355949,-3.51506,-2.72825,0.879061,-0.459453,-1.649997,-2.79243,0.073115,0.687234,-0.093058,-0.300314,1.278152,1.558305,1.590027,-0.811563,1.489702,-0.349171,-0.082088,-0.794891,-0.299841,-0.950243,-3.332137,-1.488522,0.701301,-0.932189,-2.008338,0.218849,-1.219072,1.051307,1.700302,-0.871503,0.489722,-0.847084,1.115935,3.306575,-2.402644,-257.313904,-538.753967,-635.447266,1672.673828,-1.502022,-2.078046,0.064002,-0.45589
"stress10","L2",0.030721,-10.631691,-4.873641,-4.968812,-1.041517,-3.900727,-5.84023,-0.336652,-0.364513,-1.778927,-14.290787,8.105832,0.89061,0.91408,-9.639932,6.49726,-1.41305,-2.350451,-8.472379,3.397252,-2.939741,-3.787437,-3.237663,-0.942573,-3.237732,-1.748839,-5.467546,0.364887,-0.98635,-0.828886,-6.618467,3.453145,4.152854,6.358229,-2.068893,6.669386,-2.655464,-0.505588,-4.983717,1.597642,-3.509868,-1.188339,-3.934609,-0.81318,-1.938451,-0.347487,-3.166878,-0.888876,-2.892226,0.300516,-3.335999,-0.149831,-0.491446,1.753962,-3.014455,2.57097,-0.530697,3.461177,-3.831795,0.60939,0.423808,3.499182,-3.267775,0.320328,-0.101987,2.456464,-2.145365,-0.433877,-3.683037,0.779415,-2.374774,-2.824697,-0.739074,1.038244,0.220489,-0.854707,3.85493,6.60658,4.469857,4.166006,-3.687119,-0.442271,-0.713279,-2.618547,-3.164799,-1.834448,-2.204127,-1.389353,-4.063487,-2.60194,-2.333925,-2.299681,-4.329318,-2.274839,-0.196706,-3.052698,-2.830117,-0.369745,2.70142,-3.55369,-1.017761,1.228933,5.128199,-5.393313,-4.215033,-0.439677,3.072529,-6.146574,-4.263991,-4.267815,-0.7965,-3.508456,-4.494522,-4.035636,1.599834,-5.826917,-3.295334,0.020318,8.576841,-10.48365,-3.215263,-10.481106,2.96569,-8.548083,991.672119,-676.151855,1554.455444,-190.692917,-2.669263,-4.321604,-0.800322,-3.611797
"stress11","L2",-7.209719,0.431455,-6.123008,-10.854908,-8.345563,0.412204,0.935056,-6.461031,-23.599031,-10.344409,-4.900907,-12.701107,-18.11598,-8.782772,-0.584951,-4.694685,-10.084723,-1.412545,-0.277975,-4.481384,-3.144057,2.170077,0.24972,-3.322435,-2.640738,1.13664,-0.594958,-2.507224,-11.841413,-4.367686,-1.602458,-2.34399,-7.627334,-8.816301,1.806863,0.623948,-3.703307,0.353364,0.15495,-0.168596,-0.562734,2.278722,-1.728288,-2.790577,-1.215381,1.82169,-1.033227,-4.602106,0.065177,1.945304,0.654172,-1.107939,-2.436886,-0.491676,1.101452,3.562917,2.441704,2.35613,1.800158,0.894518,2.949319,1.909191,1.200224,0.826491,3.974685,1.932612,2.59059,-0.971626,1.342266,1.606523,-1.659613,5.941553,4.872948,2.684173,1.824089,0.410602,6.646871,-2.830479,2.191245,4.027006,2.97629,2.238906,-1.81714,2.412268,0.299439,2.18775,-1.772342,-1.486802,-1.129716,1.766707,-1.357892,-2.897738,3.447227,1.63929,-4.45436,0.304293,6.575851,5.807627,-1.532717,1.903373,14.531616,7.142101,-0.555716,6.261651,11.663301,6.63465,-2.475435,4.357577,1.475914,3.623835,-4.042207,-1.234325,7.325407,6.025398,-4.805285,1.958763,23.274132,10.003689,-0.696483,7.856959,11.208277,-6.261791,-11.706067,-7.944833,905.009094,-723.90686,1244.590332,-443.224365,0.32682,3.88226,-1.332702,-1.550318
"stress12","L2",1.086976,1.132505,-0.077467,-0.814025,0.759005,4.602423,1.726601,-0.93684,0.064118,2.024822,1.801219,-0.140043,2.313026,0.54604,-0.913418,-1.574158,0.57432,3.750794,1.618483,0.521397,0.59635,3.933563,1.516059,-1.219792,-0.795884,3.711868,1.68877,-0.377399,-0.266516,2.126569,1.335477,2.016974,-3.643397,-6.976192,0.467043,2.263968,-1.657384,1.209439,2.527192,0.672858,-0.783569,2.766122,1.338651,0.949832,-1.978215,0.246211,1.36329,-0.581983,-1.573051,1.028394,2.075425,1.671631,-1.717357,-0.889064,1.823115,2.271691,-1.718672,-2.149373,1.760223,2.160075,-2.069223,-2.837424,0.238286,0.830046,-2.825346,-4.01176,-0.33116,0.228796,-2.309001,-2.595038,0.803715,-1.587896,-2.294069,-4.373993,-0.537591,-1.155453,-1.846852,-6.235484,-1.205232,-0.096264,-1.145813,-1.612498,-0.246773,-1.770179,0.212317,0.644847,0.181893,-0.410128,0.06727,2.997059,1.145856,-0.113578,0.292625,-0.037548,0.327683,-0.893253,-1.056054,-0.701762,-0.401571,-1.435797,4.740574,-1.90188,-3.025671,-1.200214,2.267898,2.058244,-1.601775,-1.534266,1.981618,3.347941,-0.111741,-1.864629,1.389556,2.150045,-1.09859,-2.302745,3.670823,5.382652,-2.001338,-3.924042,1.847045,1.41499,-1.053571,-1.37323,36.277035,-796.288635,656.582092,-149.935654,1.830083,4.403893,0.246062,-0.722569
"stress13","L2",-2.913627,1.255324,-0.62106,0.541181,-2.825431,3.418703,1.476435,2.456435,-1.649436,1.923366,0.238874,1.823176,-0.598036,-0.419426,-3.162387,1.917961,-1.495095,2.488256,1.973969,2.241925,-3.585325,1.184445,2.303144,-0.834703,-1.812872,1.598722,3.488673,-1.357005,-0.086766,1.176248,1.280549,-0.823452,2.994301,-3.923013,-3.491579,-0.536956,-0.324598,1.169016,2.887288,-1.652192,-0.692862,0.175881,2.070757,-3.500148,0.400824,-0.679106,1.506311,-5.462337,0.80268,0.402337,2.552963,-3.651785,0.641473,-0.083016,1.942429,-1.153723,2.24681,-1.65772,0.466505,-2.567135,2.580501,-2.454025,-1.003694,-2.53797,1.781135,-2.201551,-0.434346,-2.887274,0.676759,-1.594989,0.663902,-4.89205,0.938996,-1.317869,-0.41305,-1.213153,4.214967,-3.045914,-2.279241,-0.02265,-0.805131,-1.327811,1.16878,-2.639902,-0.829334,-0.466805,1.874447,-5.133544,-1.068839,0.231667,1.74531,-2.942549,-0.731695,0.011839,1.581476,-3.350133,0.182851,0.34177,0.983944,-1.428609,-0.410626,0.776812,-1.005745,0.4464,-1.104923,1.838182,2.134468,-1.253837,-1.339123,1.369385,3.546457,-2.326182,-1.759891,1.733342,1.44269,-2.027052,-0.282981,1.41759,3.781467,-2.238559,-1.812564,1.000455,0.023598,1.248608,1187.07251,-575.180664,1685.706299,-488.291016,-2.403089,2.322976,1.923608,0.186535
"stress14","L2",-5.094007,2.128478,-2.569245,5.771324,-3.143452,2.051754,-2.271457,6.490594,-8.132565,3.615051,-2.395368,6.396179,-3.41316,1.090651,-1.118843,1.682171,-2.065493,2.415464,-2.444448,4.721153,-0.326781,1.391739,-0.909329,5.91551,-0.730616,0.411276,0.027114,3.01873,-2.690612,1.776048,1.148392,3.063843,0.418878,-2.37805,5.540963,-5.050307,-3.569937,-0.312465,0.987417,1.865436,-1.622091,-2.118161,2.39169,1.578345,-2.366032,-3.275419,4.069012,-1.147974,-3.616976,-3.413864,3.542922,0.507942,-2.943612,-2.187998,2.715816,0.026276,-4.044839,-3.475561,4.709746,-0.447599,-3.789775,-4.300713,4.466156,-2.519282,-3.77254,-4.973528,2.25694,-3.124146,-2.06156,-1.549258,1.466913,-2.601146,-1.415974,-0.827993,1.868456,-2.94423,3.162999,-3.990233,6.030963,-8.417882,-2.224938,-0.234973,-1.419284,-2.058189,-1.840088,-1.975745,1.074404,-0.500228,-0.067952,-0.796402,1.293603,2.588918,-1.107454,-0.442587,-0.350453,-0.633647,3.436425,-1.96451,-1.467761,-0.979833,8.360287,-3.835627,0.843383,-3.596558,3.068251,-0.297757,-2.530879,-0.003892,-0.942097,1.468154,-2.605822,2.830337,0.749354,0.878113,-4.442249,1.977872,7.66079,-2.337811,-1.250497,-0.568339,-2.294652,3.317466,-4.42287,3.601199,1171.644897,-666.928223,1619.890625,-643.596802,-1.19396,2.122762,-3.85731,4.489396
"stress15","L2",1.534803,0.163326,-3.253771,-0.07362,2.010722,-0.165543,-1.767771,0.347423,2.105879,1.640244,-1.467902,-0.133132,2.15256,1.648565,0.823105,0.556003,2.013893,1.758472,-1.745856,0.853838,1.133667,-1.677211,-2.214566,-1.22782,-0.320674,-0.307894,-2.406806,1.17506,0.823715,2.037704,-2.020407,1.67437,0.037055,2.606717,2.677006,1.906802,-0.128471,-0.724703,-1.337315,1.681297,-2.133704,-4.759795,-2.510348,1.049308,-2.608198,-7.262929,-2.098805,1.487992,-1.098713,-3.55883,-0.850509,2.281418,-0.574782,-1.162748,-0.406157,1.58746,-1.884743,-2.674324,2.445754,3.130151,-2.052728,-4.008284,2.762576,2.643151,-1.911691,-5.242685,2.696676,2.64942,-2.562279,-6.67362,0.389574,0.968475,-1.714832,-2.961364,0.934587,2.47952,-2.956147,2.569872,7.659492,2.510983,-1.671572,-3.892752,-1.08579,0.012346,-3.100511,-6.580928,-1.866942,-0.199253,-1.140549,-5.309793,-3.139827,-0.997948,-1.378603,-3.587424,-1.025503,-0.963658,-1.859045,0.415087,-1.131041,0.183503,-0.450755,1.56878,0.229128,1.042656,-0.780738,-0.245961,-1.132706,-1.319291,-0.67206,-2.928477,-1.244274,-1.666261,-0.02615,-1.925734,-1.026055,-0.596964,0.684208,0.493239,-0.654622,0.869535,0.643111,-2.570659,-3.52349,5.534426,1079.473389,-490.244415,1536.838867,-440.824524,0.973031,-1.72553,-3.445498,-1.472595
"stress16","L2",-46.845768,-28.930489,-3.870444,-4.784011,-11.588895,-7.664838,-1.860057,-1.334564,-10.181188,-6.268627,-2.242855,0.050274,0.104892,-0.24572,-0.794793,1.974548,-3.804128,-2.91101,-1.317028,1.555688,-3.346581,-3.749742,-2.048154,-0.576406,1.734588,-0.665148,-1.985504,0.556319,2.360185,0.311131,0.577381,1.800485,12.036023,9.394574,3.869451,2.759278,3.105325,0.452463,-1.178421,0.645398,1.740616,-0.145234,-1.192544,-1.367594,2.132285,-0.343623,-1.168088,-1.60363,4.206196,-0.539016,-1.34092,-0.653458,4.418853,1.420471,0.802662,0.502418,5.134186,0.379618,0.279207,-1.561561,4.482424,0.354035,0.690579,-3.02529,3.169625,0.922768,-1.980695,-4.839157,1.329537,-1.435949,-0.906724,-2.400734,2.27074,1.586816,-0.686403,-3.087724,11.234616,11.074958,2.87498,0.239988,0.740754,-0.116988,-0.519915,-1.613103,-0.116392,-1.053958,-1.051057,-1.725288,-0.840036,-1.538508,-1.142508,-1.568067,-1.168041,-1.022362,-0.176514,-1.090624,1.049581,2.682525,0.211494,0.682751,1.535778,1.759126,-0.580417,2.308676,-2.153119,-0.992304,-0.31186,0.529593,-3.374315,-3.963819,-1.738078,-2.203937,-8.91412,-6.841441,-0.985089,-0.69725,-6.035775,-1.858729,-1.628548,2.0081,-32.601532,-21.948633,-3.881154,-1.967681,1048.19458,-442.198029,1408.440063,-274.067047,-7.756884,-6.823181,-2.248144,-0.999756
"stress17","L2",-2.531475,-2.178745,1.081586,-5.468116,-3.644962,-1.536352,-4.717227,-3.792545,-1.046671,0.823742,-3.580167,-3.486767,1.146113,1.548435,0.643321,-1.386392,-2.214916,-0.153858,-4.623443,-2.684777,-4.076973,-1.962931,-5.462138,-3.609622,-2.101595,-2.40179,-4.081039,-2.088129,-0.133215,0.316876,-1.27963,-1.193017,7.022954,3.312187,3.389365,4.17435,-0.691672,-1.454036,-2.505686,-1.061149,-2.247703,-3.21806,-3.925249,-3.480065,-2.360544,-3.544044,-2.740064,-3.925658,-1.383845,-3.576867,-2.060079,-1.821023,0.332902,-0.696388,-1.212166,-0.289489,-0.528205,-2.136217,0.018285,-0.129069,-0.510473,-2.224651,-0.057199,-0.049414,0.04839,-1.610663,0.565503,0.149794,0.390267,-3.116443,-0.033776,1.02273,0.98316,-1.59239,1.096719,1.310426,7.505687,2.841112,6.839065,7.72246,-0.283179,-2.382783,0.756891,-0.155746,-3.185826,-3.978067,-2.571102,-3.887944,-4.140694,-3.695774,-5.449131,-4.242235,-3.075839,-3.087279,-1.786794,-2.352829,-0.451632,0.099227,3.059906,1.506263,-0.445071,1.607243,8.013207,3.049625,-2.924468,-1.33028,1.607882,-1.409541,-6.460585,-2.712436,-1.937727,-5.131946,-5.143318,-1.404422,-0.849752,-2.758883,-2.731628,0.493548,7.732199,0.830671,-3.195083,-0.824963,3.922575,-3.080789,1062.564087,-542.38855,1456.305054,-284.143463,-4.84288,-2.0511,-3.409476,-3.965603
