Participant_ID,L1_L2,area,time_period,channel,stress,match,amplitude
stress1,L1,F0,136_280,Fp1,stressed,mismatch,-5.256817
stress1,L1,F0,136_280,Fp1,stressed,match,7.585823
stress1,L1,F0,136_280,Fp1,unstressed,mismatch,-0.954559
stress1,L1,F0,136_280,Fp1,unstressed,match,-0.961754
stress1,L1,F0,136_280,F3,stressed,mismatch,-3.863773
stress1,L1,F0,136_280,F3,stressed,match,4.641833
stress1,L1,F0,136_280,F3,unstressed,mismatch,-2.029991
stress1,L1,F0,136_280,F3,unstressed,match,-0.540131
stress1,L1,F0,136_280,F7,stressed,mismatch,7.028051
stress1,L1,F0,136_280,F7,stressed,match,-11.57822
stress1,L1,F0,136_280,F7,unstressed,mismatch,4.317811
stress1,L1,F0,136_280,F7,unstressed,match,3.967151
stress1,L1,F0,136_280,FT9,stressed,mismatch,4.299339
stress1,L1,F0,136_280,FT9,stressed,match,0.028948
stress1,L1,F0,136_280,FT9,unstressed,mismatch,2.931662
stress1,L1,F0,136_280,FT9,unstressed,match,3.784892
stress1,L1,F0,136_280,FC5,stressed,mismatch,0.842199
stress1,L1,F0,136_280,FC5,stressed,match,5.861856
stress1,L1,F0,136_280,FC5,unstressed,mismatch,-0.934958
stress1,L1,F0,136_280,FC5,unstressed,match,-1.731242
stress1,L1,F0,136_280,FC1,stressed,mismatch,-4.609908
stress1,L1,F0,136_280,FC1,stressed,match,4.403649
stress1,L1,F0,136_280,FC1,unstressed,mismatch,-2.947907
stress1,L1,F0,136_280,FC1,unstressed,match,-0.431267
stress1,L1,F0,136_280,C3,stressed,mismatch,-4.326365
stress1,L1,F0,136_280,C3,stressed,match,5.887142
stress1,L1,F0,136_280,C3,unstressed,mismatch,-1.980786
stress1,L1,F0,136_280,C3,unstressed,match,-1.594452
stress1,L1,F0,136_280,T7,stressed,mismatch,-2.176416
stress1,L1,F0,136_280,T7,stressed,match,3.262382
stress1,L1,F0,136_280,T7,unstressed,mismatch,-4.163001
stress1,L1,F0,136_280,T7,unstressed,match,-0.282095
stress1,L1,F0,136_280,TP9,stressed,mismatch,9.150826
stress1,L1,F0,136_280,TP9,stressed,match,-4.478934
stress1,L1,F0,136_280,TP9,unstressed,mismatch,6.127794
stress1,L1,F0,136_280,TP9,unstressed,match,-2.551021
stress1,L1,F0,136_280,CP5,stressed,mismatch,-1.006248
stress1,L1,F0,136_280,CP5,stressed,match,8.165995
stress1,L1,F0,136_280,CP5,unstressed,mismatch,-0.622876
stress1,L1,F0,136_280,CP5,unstressed,match,-0.30984
stress1,L1,F0,136_280,CP1,stressed,mismatch,-5.087996
stress1,L1,F0,136_280,CP1,stressed,match,4.264043
stress1,L1,F0,136_280,CP1,unstressed,mismatch,-0.388976
stress1,L1,F0,136_280,CP1,unstressed,match,-0.872666
stress1,L1,F0,136_280,Pz,stressed,mismatch,-4.618506
stress1,L1,F0,136_280,Pz,stressed,match,3.979835
stress1,L1,F0,136_280,Pz,unstressed,mismatch,0.259832
stress1,L1,F0,136_280,Pz,unstressed,match,-1.160855
stress1,L1,F0,136_280,P3,stressed,mismatch,-4.53619
stress1,L1,F0,136_280,P3,stressed,match,5.263991
stress1,L1,F0,136_280,P3,unstressed,mismatch,-0.486774
stress1,L1,F0,136_280,P3,unstressed,match,-1.185986
stress1,L1,F0,136_280,P7,stressed,mismatch,4.343703
stress1,L1,F0,136_280,P7,stressed,match,5.55695
stress1,L1,F0,136_280,P7,unstressed,mismatch,4.137417
stress1,L1,F0,136_280,P7,unstressed,match,-1.326464
stress1,L1,F0,136_280,O1,stressed,mismatch,0.237983
stress1,L1,F0,136_280,O1,stressed,match,3.922691
stress1,L1,F0,136_280,O1,unstressed,mismatch,5.620107
stress1,L1,F0,136_280,O1,unstressed,match,0.433899
stress1,L1,F0,136_280,Oz,stressed,mismatch,-0.857575
stress1,L1,F0,136_280,Oz,stressed,match,2.658076
stress1,L1,F0,136_280,Oz,unstressed,mismatch,2.513676
stress1,L1,F0,136_280,Oz,unstressed,match,-0.381488
stress1,L1,F0,136_280,O2,stressed,mismatch,-0.70806500000000006
stress1,L1,F0,136_280,O2,stressed,match,1.937439
stress1,L1,F0,136_280,O2,unstressed,mismatch,1.13361
stress1,L1,F0,136_280,O2,unstressed,match,-0.17197
stress1,L1,F0,136_280,P4,stressed,mismatch,-4.837289
stress1,L1,F0,136_280,P4,stressed,match,4.063223
stress1,L1,F0,136_280,P4,unstressed,mismatch,1.336302
stress1,L1,F0,136_280,P4,unstressed,match,-0.134788
stress1,L1,F0,136_280,P8,stressed,mismatch,-1.301838
stress1,L1,F0,136_280,P8,stressed,match,1.976917
stress1,L1,F0,136_280,P8,unstressed,mismatch,-0.357812
stress1,L1,F0,136_280,P8,unstressed,match,0.976761
stress1,L1,F0,136_280,TP10,stressed,mismatch,8.090635
stress1,L1,F0,136_280,TP10,stressed,match,-10.653841
stress1,L1,F0,136_280,TP10,unstressed,mismatch,-0.373552
stress1,L1,F0,136_280,TP10,unstressed,match,2.648374
stress1,L1,F0,136_280,CP6,stressed,mismatch,-3.469804
stress1,L1,F0,136_280,CP6,stressed,match,3.545231
stress1,L1,F0,136_280,CP6,unstressed,mismatch,-1.231856
stress1,L1,F0,136_280,CP6,unstressed,match,1.204309
stress1,L1,F0,136_280,CP2,stressed,mismatch,-4.637664
stress1,L1,F0,136_280,CP2,stressed,match,4.415703
stress1,L1,F0,136_280,CP2,unstressed,mismatch,-0.842102
stress1,L1,F0,136_280,CP2,unstressed,match,-0.302772
stress1,L1,F0,136_280,Cz,stressed,mismatch,-5.066233
stress1,L1,F0,136_280,Cz,stressed,match,4.181426
stress1,L1,F0,136_280,Cz,unstressed,mismatch,-0.974928
stress1,L1,F0,136_280,Cz,unstressed,match,0.098216
stress1,L1,F0,136_280,C4,stressed,mismatch,-5.181765
stress1,L1,F0,136_280,C4,stressed,match,3.913194
stress1,L1,F0,136_280,C4,unstressed,mismatch,-0.723641
stress1,L1,F0,136_280,C4,unstressed,match,0.2733
stress1,L1,F0,136_280,T8,stressed,mismatch,-7.113156
stress1,L1,F0,136_280,T8,stressed,match,1.721801
stress1,L1,F0,136_280,T8,unstressed,mismatch,-5.956422
stress1,L1,F0,136_280,T8,unstressed,match,1.226573
stress1,L1,F0,136_280,FT10,stressed,mismatch,-6.686769
stress1,L1,F0,136_280,FT10,stressed,match,9.918686
stress1,L1,F0,136_280,FT10,unstressed,mismatch,-5.17162
stress1,L1,F0,136_280,FT10,unstressed,match,2.167636
stress1,L1,F0,136_280,FC6,stressed,mismatch,-4.361001
stress1,L1,F0,136_280,FC6,stressed,match,9.494116
stress1,L1,F0,136_280,FC6,unstressed,mismatch,-3.445424
stress1,L1,F0,136_280,FC6,unstressed,match,2.927638
stress1,L1,F0,136_280,FC2,stressed,mismatch,-5.098422
stress1,L1,F0,136_280,FC2,stressed,match,3.907867
stress1,L1,F0,136_280,FC2,unstressed,mismatch,-2.203273
stress1,L1,F0,136_280,FC2,unstressed,match,0.558981
stress1,L1,F0,136_280,F4,stressed,mismatch,-5.552569
stress1,L1,F0,136_280,F4,stressed,match,6.356695
stress1,L1,F0,136_280,F4,unstressed,mismatch,-3.866769
stress1,L1,F0,136_280,F4,unstressed,match,0.678277
stress1,L1,F0,136_280,F8,stressed,mismatch,-0.889245
stress1,L1,F0,136_280,F8,stressed,match,-9.225047
stress1,L1,F0,136_280,F8,unstressed,mismatch,-13.748517
stress1,L1,F0,136_280,F8,unstressed,match,8.329541
stress1,L1,F0,136_280,Fp2,stressed,mismatch,-11.803743
stress1,L1,F0,136_280,Fp2,stressed,match,2.52688
stress1,L1,F0,136_280,Fp2,unstressed,mismatch,-6.345909
stress1,L1,F0,136_280,Fp2,unstressed,match,0.898551
stress1,L1,F0,136_280,Audio,stressed,mismatch,82.825539
stress1,L1,F0,136_280,Audio,stressed,match,-642.338074
stress1,L1,F0,136_280,Audio,unstressed,mismatch,-1345.401001
stress1,L1,F0,136_280,Audio,unstressed,match,720.221436
stress1,L1,F0,136_280,Fz,stressed,mismatch,-5.747156
stress1,L1,F0,136_280,Fz,stressed,match,5.04426
stress1,L1,F0,136_280,Fz,unstressed,mismatch,-1.918084
stress1,L1,F0,136_280,Fz,unstressed,match,-0.032449
stress1,L2,F0,136_280,Fp1,stressed,mismatch,-3.017158
stress1,L2,F0,136_280,Fp1,stressed,match,2.33747
stress1,L2,F0,136_280,Fp1,unstressed,mismatch,3.309184
stress1,L2,F0,136_280,Fp1,unstressed,match,-2.795942
stress1,L2,F0,136_280,F3,stressed,mismatch,-0.407925
stress1,L2,F0,136_280,F3,stressed,match,-0.92468
stress1,L2,F0,136_280,F3,unstressed,mismatch,1.338026
stress1,L2,F0,136_280,F3,unstressed,match,-0.257323
stress1,L2,F0,136_280,F7,stressed,mismatch,0.660516
stress1,L2,F0,136_280,F7,stressed,match,1.505834
stress1,L2,F0,136_280,F7,unstressed,mismatch,2.481065
stress1,L2,F0,136_280,F7,unstressed,match,-3.329426
stress1,L2,F0,136_280,FT9,stressed,mismatch,0.883035
stress1,L2,F0,136_280,FT9,stressed,match,1.070246
stress1,L2,F0,136_280,FT9,unstressed,mismatch,1.622154
stress1,L2,F0,136_280,FT9,unstressed,match,-2.597306
stress1,L2,F0,136_280,FC5,stressed,mismatch,1.322241
stress1,L2,F0,136_280,FC5,stressed,match,-0.520901
stress1,L2,F0,136_280,FC5,unstressed,mismatch,1.179477
stress1,L2,F0,136_280,FC5,unstressed,match,-0.633229
stress1,L2,F0,136_280,FC1,stressed,mismatch,0.13161
stress1,L2,F0,136_280,FC1,stressed,match,-2.738916
stress1,L2,F0,136_280,FC1,unstressed,mismatch,-0.66803
stress1,L2,F0,136_280,FC1,unstressed,match,-0.163141
stress1,L2,F0,136_280,C3,stressed,mismatch,2.328419
stress1,L2,F0,136_280,C3,stressed,match,-1.489872
stress1,L2,F0,136_280,C3,unstressed,mismatch,-0.536027
stress1,L2,F0,136_280,C3,unstressed,match,0.096012
stress1,L2,F0,136_280,T7,stressed,mismatch,-0.135699
stress1,L2,F0,136_280,T7,stressed,match,0.356861
stress1,L2,F0,136_280,T7,unstressed,mismatch,0.733741
stress1,L2,F0,136_280,T7,unstressed,match,-1.397287
stress1,L2,F0,136_280,TP9,stressed,mismatch,2.080259
stress1,L2,F0,136_280,TP9,stressed,match,3.203008
stress1,L2,F0,136_280,TP9,unstressed,mismatch,0.07116
stress1,L2,F0,136_280,TP9,unstressed,match,-0.323374
stress1,L2,F0,136_280,CP5,stressed,mismatch,1.104151
stress1,L2,F0,136_280,CP5,stressed,match,-1.105618
stress1,L2,F0,136_280,CP5,unstressed,mismatch,0.069893
stress1,L2,F0,136_280,CP5,unstressed,match,-0.309233
stress1,L2,F0,136_280,CP1,stressed,mismatch,2.408109
stress1,L2,F0,136_280,CP1,stressed,match,-2.338654
stress1,L2,F0,136_280,CP1,unstressed,mismatch,-2.134382
stress1,L2,F0,136_280,CP1,unstressed,match,1.18794
stress1,L2,F0,136_280,Pz,stressed,mismatch,1.725546
stress1,L2,F0,136_280,Pz,stressed,match,-1.97194
stress1,L2,F0,136_280,Pz,unstressed,mismatch,-1.568017
stress1,L2,F0,136_280,Pz,unstressed,match,1.751274
stress1,L2,F0,136_280,P3,stressed,mismatch,0.199386
stress1,L2,F0,136_280,P3,stressed,match,-1.504282
stress1,L2,F0,136_280,P3,unstressed,mismatch,-1.192166
stress1,L2,F0,136_280,P3,unstressed,match,1.279538
stress1,L2,F0,136_280,P7,stressed,mismatch,1.951481
stress1,L2,F0,136_280,P7,stressed,match,-0.156887
stress1,L2,F0,136_280,P7,unstressed,mismatch,-1.580348
stress1,L2,F0,136_280,P7,unstressed,match,-0.486279
stress1,L2,F0,136_280,O1,stressed,mismatch,1.617213
stress1,L2,F0,136_280,O1,stressed,match,-0.718801
stress1,L2,F0,136_280,O1,unstressed,mismatch,-0.692714
stress1,L2,F0,136_280,O1,unstressed,match,0.617301
stress1,L2,F0,136_280,Oz,stressed,mismatch,0.74627
stress1,L2,F0,136_280,Oz,stressed,match,-0.689925
stress1,L2,F0,136_280,Oz,unstressed,mismatch,-0.135947
stress1,L2,F0,136_280,Oz,unstressed,match,1.439864
stress1,L2,F0,136_280,O2,stressed,mismatch,0.221505
stress1,L2,F0,136_280,O2,stressed,match,-0.412598
stress1,L2,F0,136_280,O2,unstressed,mismatch,-1.033093
stress1,L2,F0,136_280,O2,unstressed,match,1.795598
stress1,L2,F0,136_280,P4,stressed,mismatch,0.293194
stress1,L2,F0,136_280,P4,stressed,match,-2.466359
stress1,L2,F0,136_280,P4,unstressed,mismatch,-1.722663
stress1,L2,F0,136_280,P4,unstressed,match,0.984234
stress1,L2,F0,136_280,P8,stressed,mismatch,0.258872
stress1,L2,F0,136_280,P8,stressed,match,-0.436115
stress1,L2,F0,136_280,P8,unstressed,mismatch,-0.235253
stress1,L2,F0,136_280,P8,unstressed,match,0.72642
stress1,L2,F0,136_280,TP10,stressed,mismatch,2.425808
stress1,L2,F0,136_280,TP10,stressed,match,3.031131
stress1,L2,F0,136_280,TP10,unstressed,mismatch,-0.263165
stress1,L2,F0,136_280,TP10,unstressed,match,1.691043
stress1,L2,F0,136_280,CP6,stressed,mismatch,0.686629
stress1,L2,F0,136_280,CP6,stressed,match,-2.220336
stress1,L2,F0,136_280,CP6,unstressed,mismatch,-2.290749
stress1,L2,F0,136_280,CP6,unstressed,match,0.32443
stress1,L2,F0,136_280,CP2,stressed,mismatch,1.522898
stress1,L2,F0,136_280,CP2,stressed,match,-3.309733
stress1,L2,F0,136_280,CP2,unstressed,mismatch,-3.311995
stress1,L2,F0,136_280,CP2,unstressed,match,0.812762
stress1,L2,F0,136_280,Cz,stressed,mismatch,1.355949
stress1,L2,F0,136_280,Cz,stressed,match,-3.51506
stress1,L2,F0,136_280,Cz,unstressed,mismatch,-2.72825
stress1,L2,F0,136_280,Cz,unstressed,match,0.879061
stress1,L2,F0,136_280,C4,stressed,mismatch,-0.459453
stress1,L2,F0,136_280,C4,stressed,match,-1.649997
stress1,L2,F0,136_280,C4,unstressed,mismatch,-2.79243
stress1,L2,F0,136_280,C4,unstressed,match,0.073115
stress1,L2,F0,136_280,T8,stressed,mismatch,0.687234
stress1,L2,F0,136_280,T8,stressed,match,-0.093058
stress1,L2,F0,136_280,T8,unstressed,mismatch,-0.300314
stress1,L2,F0,136_280,T8,unstressed,match,1.278152
stress1,L2,F0,136_280,FT10,stressed,mismatch,1.558305
stress1,L2,F0,136_280,FT10,stressed,match,1.590027
stress1,L2,F0,136_280,FT10,unstressed,mismatch,-0.811563
stress1,L2,F0,136_280,FT10,unstressed,match,1.489702
stress1,L2,F0,136_280,FC6,stressed,mismatch,-0.349171
stress1,L2,F0,136_280,FC6,stressed,match,-0.082088
stress1,L2,F0,136_280,FC6,unstressed,mismatch,-0.794891
stress1,L2,F0,136_280,FC6,unstressed,match,-0.299841
stress1,L2,F0,136_280,FC2,stressed,mismatch,-0.950243
stress1,L2,F0,136_280,FC2,stressed,match,-3.332137
stress1,L2,F0,136_280,FC2,unstressed,mismatch,-1.488522
stress1,L2,F0,136_280,FC2,unstressed,match,0.701301
stress1,L2,F0,136_280,F4,stressed,mismatch,-0.932189
stress1,L2,F0,136_280,F4,stressed,match,-2.008338
stress1,L2,F0,136_280,F4,unstressed,mismatch,0.218849
stress1,L2,F0,136_280,F4,unstressed,match,-1.219072
stress1,L2,F0,136_280,F8,stressed,mismatch,1.051307
stress1,L2,F0,136_280,F8,stressed,match,1.700302
stress1,L2,F0,136_280,F8,unstressed,mismatch,-0.871503
stress1,L2,F0,136_280,F8,unstressed,match,0.489722
stress1,L2,F0,136_280,Fp2,stressed,mismatch,-0.847084
stress1,L2,F0,136_280,Fp2,stressed,match,1.115935
stress1,L2,F0,136_280,Fp2,unstressed,mismatch,3.306575
stress1,L2,F0,136_280,Fp2,unstressed,match,-2.402644
stress1,L2,F0,136_280,Audio,stressed,mismatch,-257.313904
stress1,L2,F0,136_280,Audio,stressed,match,-538.753967
stress1,L2,F0,136_280,Audio,unstressed,mismatch,-635.447266
stress1,L2,F0,136_280,Audio,unstressed,match,1672.673828
stress1,L2,F0,136_280,Fz,stressed,mismatch,-1.502022
stress1,L2,F0,136_280,Fz,stressed,match,-2.078046
stress1,L2,F0,136_280,Fz,unstressed,mismatch,0.064002
stress1,L2,F0,136_280,Fz,unstressed,match,-0.45589
stress10,L2,F0,136_280,Fp1,stressed,mismatch,0.030721
stress10,L2,F0,136_280,Fp1,stressed,match,-10.631691
stress10,L2,F0,136_280,Fp1,unstressed,mismatch,-4.873641
stress10,L2,F0,136_280,Fp1,unstressed,match,-4.968812
stress10,L2,F0,136_280,F3,stressed,mismatch,-1.041517
stress10,L2,F0,136_280,F3,stressed,match,-3.900727
stress10,L2,F0,136_280,F3,unstressed,mismatch,-5.84023
stress10,L2,F0,136_280,F3,unstressed,match,-0.336652
stress10,L2,F0,136_280,F7,stressed,mismatch,-0.364513
stress10,L2,F0,136_280,F7,stressed,match,-1.778927
stress10,L2,F0,136_280,F7,unstressed,mismatch,-14.290787
stress10,L2,F0,136_280,F7,unstressed,match,8.105832
stress10,L2,F0,136_280,FT9,stressed,mismatch,0.89061
stress10,L2,F0,136_280,FT9,stressed,match,0.91408
stress10,L2,F0,136_280,FT9,unstressed,mismatch,-9.639932
stress10,L2,F0,136_280,FT9,unstressed,match,6.49726
stress10,L2,F0,136_280,FC5,stressed,mismatch,-1.41305
stress10,L2,F0,136_280,FC5,stressed,match,-2.350451
stress10,L2,F0,136_280,FC5,unstressed,mismatch,-8.472379
stress10,L2,F0,136_280,FC5,unstressed,match,3.397252
stress10,L2,F0,136_280,FC1,stressed,mismatch,-2.939741
stress10,L2,F0,136_280,FC1,stressed,match,-3.787437
stress10,L2,F0,136_280,FC1,unstressed,mismatch,-3.237663
stress10,L2,F0,136_280,FC1,unstressed,match,-0.942573
stress10,L2,F0,136_280,C3,stressed,mismatch,-3.237732
stress10,L2,F0,136_280,C3,stressed,match,-1.748839
stress10,L2,F0,136_280,C3,unstressed,mismatch,-5.467546
stress10,L2,F0,136_280,C3,unstressed,match,0.364887
stress10,L2,F0,136_280,T7,stressed,mismatch,-0.98635
stress10,L2,F0,136_280,T7,stressed,match,-0.828886
stress10,L2,F0,136_280,T7,unstressed,mismatch,-6.618467
stress10,L2,F0,136_280,T7,unstressed,match,3.453145
stress10,L2,F0,136_280,TP9,stressed,mismatch,4.152854
stress10,L2,F0,136_280,TP9,stressed,match,6.358229
stress10,L2,F0,136_280,TP9,unstressed,mismatch,-2.068893
stress10,L2,F0,136_280,TP9,unstressed,match,6.669386
stress10,L2,F0,136_280,CP5,stressed,mismatch,-2.655464
stress10,L2,F0,136_280,CP5,stressed,match,-0.505588
stress10,L2,F0,136_280,CP5,unstressed,mismatch,-4.983717
stress10,L2,F0,136_280,CP5,unstressed,match,1.597642
stress10,L2,F0,136_280,CP1,stressed,mismatch,-3.509868
stress10,L2,F0,136_280,CP1,stressed,match,-1.188339
stress10,L2,F0,136_280,CP1,unstressed,mismatch,-3.934609
stress10,L2,F0,136_280,CP1,unstressed,match,-0.81318
stress10,L2,F0,136_280,Pz,stressed,mismatch,-1.938451
stress10,L2,F0,136_280,Pz,stressed,match,-0.347487
stress10,L2,F0,136_280,Pz,unstressed,mismatch,-3.166878
stress10,L2,F0,136_280,Pz,unstressed,match,-0.888876
