Participant_ID,L1_L2,area,time_period,channel,stress,match,amplitude
stress1,L1,suffix,235_415,Fp1,stressed,mismatch,-4.057705
stress1,L1,suffix,235_415,Fp1,stressed,match,8.496333
stress1,L1,suffix,235_415,Fp1,unstressed,mismatch,-0.596164
stress1,L1,suffix,235_415,Fp1,unstressed,match,-2.60797
stress1,L1,suffix,235_415,F3,stressed,mismatch,-3.05305
stress1,L1,suffix,235_415,F3,stressed,match,5.028655
stress1,L1,suffix,235_415,F3,unstressed,mismatch,-1.544469
stress1,L1,suffix,235_415,F3,unstressed,match,-0.858199
stress1,L1,suffix,235_415,F7,stressed,mismatch,-2.336015
stress1,L1,suffix,235_415,F7,stressed,match,-6.559369
stress1,L1,suffix,235_415,F7,unstressed,mismatch,2.017292
stress1,L1,suffix,235_415,F7,unstressed,match,3.838986
stress1,L1,suffix,235_415,FT9,stressed,mismatch,3.308012
stress1,L1,suffix,235_415,FT9,stressed,match,2.453846
stress1,L1,suffix,235_415,FT9,unstressed,mismatch,2.607498
stress1,L1,suffix,235_415,FT9,unstressed,match,4.379097
stress1,L1,suffix,235_415,FC5,stressed,mismatch,-0.731209
stress1,L1,suffix,235_415,FC5,stressed,match,3.599027
stress1,L1,suffix,235_415,FC5,unstressed,mismatch,-0.03259
stress1,L1,suffix,235_415,FC5,unstressed,match,-1.479799
stress1,L1,suffix,235_415,FC1,stressed,mismatch,-2.087022
stress1,L1,suffix,235_415,FC1,stressed,match,1.608822
stress1,L1,suffix,235_415,FC1,unstressed,mismatch,-1.039499
stress1,L1,suffix,235_415,FC1,unstressed,match,-2.007085
stress1,L1,suffix,235_415,C3,stressed,mismatch,-3.069727
stress1,L1,suffix,235_415,C3,stressed,match,3.508802
stress1,L1,suffix,235_415,C3,unstressed,mismatch,-0.890157
stress1,L1,suffix,235_415,C3,unstressed,match,-0.34552
stress1,L1,suffix,235_415,T7,stressed,mismatch,-1.004
stress1,L1,suffix,235_415,T7,stressed,match,2.748339
stress1,L1,suffix,235_415,T7,unstressed,mismatch,-7.387422
stress1,L1,suffix,235_415,T7,unstressed,match,0.382872
stress1,L1,suffix,235_415,TP9,stressed,mismatch,4.137768
stress1,L1,suffix,235_415,TP9,stressed,match,-9.649731
stress1,L1,suffix,235_415,TP9,unstressed,mismatch,6.32573
stress1,L1,suffix,235_415,TP9,unstressed,match,0.800423
stress1,L1,suffix,235_415,CP5,stressed,mismatch,-1.43492
stress1,L1,suffix,235_415,CP5,stressed,match,7.278809
stress1,L1,suffix,235_415,CP5,unstressed,mismatch,-1.147939
stress1,L1,suffix,235_415,CP5,unstressed,match,0.750304
stress1,L1,suffix,235_415,CP1,stressed,mismatch,-2.640266
stress1,L1,suffix,235_415,CP1,stressed,match,0.373007
stress1,L1,suffix,235_415,CP1,unstressed,mismatch,1.567722
stress1,L1,suffix,235_415,CP1,unstressed,match,-0.515595
stress1,L1,suffix,235_415,Pz,stressed,mismatch,-2.592591
stress1,L1,suffix,235_415,Pz,stressed,match,-0.712931
stress1,L1,suffix,235_415,Pz,unstressed,mismatch,2.219094
stress1,L1,suffix,235_415,Pz,unstressed,match,0.449931
stress1,L1,suffix,235_415,P3,stressed,mismatch,-2.167429
stress1,L1,suffix,235_415,P3,stressed,match,1.120068
stress1,L1,suffix,235_415,P3,unstressed,mismatch,0.83985
stress1,L1,suffix,235_415,P3,unstressed,match,1.424542
